id,name,address,city,country,zipcode,created_at,updated_at,mainstreet,crossstreet,key,owner,image,hotelID,source
135,Conrad New York,102 North End Avenue,New York,US,10282,,,,,,,,169343,expedia
136,Belnord Hotel,209 West 87th Street,New York,US,10024,,,,,,,,163766,expedia
137,Hilton Times Square,234 W 42nd St,New York,US,10036,,,,,,Sunstone Hotel Investors (SHO),,163777,expedia
138,Hotel Grand Union,34 E 32nd St,New York,US,10016,,,,,,,,163785,expedia
139,DoubleTree by Hilton Metropolitan - New York City,569 Lexington Ave,New York,US,10022,,,,,,RLJ Lodging Trust (RLJ),,163796,expedia
140,Tribeca Grand Hotel,2 Avenue Of The Americas,New York,US,10013,,,,,,,,164312,expedia
141,"Gild Hall, A Thompson Hotel",15 Gold Street,New York,US,10038,,,,,,LaSalle Hotel Properties (LHO),,152696,expedia
142,The Library Hotel,299 Madison Ave,New York,US,10017,,,,,,,,170510,expedia
143,Hotel Giraffe,365 Park Ave S,New York,US,10016,,,,,,,,170490,expedia
144,Hudson,356 W 58th St,New York,US,10019,,,,,,,,172653,expedia
145,Broadway Plaza Hotel,1155 Broadway,New York,US,10001,,,,,,,,172820,expedia
146,Dylan Hotel,52 E 41st St,New York,US,10017,,,,,,,,174153,expedia
147,"The Muse Hotel, a Kimpton Hotel",130 W 46th St,New York,US,10036,,,,,,,,171177,expedia
148,Park 79 Hotel,117 W 79th Street,New York,US,10024,,,,,,,,181076,expedia
149,The Roger Smith Hotel,501 Lexington Ave,New York,US,10017,,,,,,,,179766,expedia
150,The Waldorf Towers,100 E 50th St,New York,US,10022,,,,,,,,183435,expedia
151,Best Western Plus Seaport Inn Downtown,33 Peck Slip,New York,US,10038,,,,,,,,183263,expedia
152,Hotel 17,225 E 17th St,New York,US,10003,,,,,,,,189272,expedia
153,Chelsea Star Hotel & Hostel,300 W 30th St,New York,US,10001,,,,,,,,189672,expedia
154,The Bryant Park Hotel,40 W 40th St,New York,US,10018,,,,,,,,192073,expedia
155,"Club Quarters, Wall Street",52 William St,New York,US,10005,,,,,,,,192357,expedia
156,The Kimberly Hotel,145 E 50th St,New York,US,10022,,,,,,,,198937,expedia
157,Hotel 31,120 E 31st St,New York,US,10016,,,,,,,,197409,expedia
158,The Wall Street Inn,9 S William St,New York,US,10004,,,,,,,,197539,expedia
159,The Sherry Netherland,781 5th Ave,New York,US,10022,,,,,,,,198683,expedia
160,"The Ritz-Carlton New York, Battery Park",2 West St,New York,US,10004,,,,,,,,196447,expedia
161,W New York Times Square,1567 Broadway At 47th St,New York,US,10036,,,,,,,,199889,expedia
162,City Club Hotel,55 W 44th St,New York,US,10036,,,,,,,,198706,expedia
163,Quality Inn Convention Center,442 W 36th Street,New York,US,10018,,,,,,,,196022,expedia
164,MURRAY HILL INN,143 EAST 30TH STREET,New York,US,10016,,,,,,,,200002,expedia
165,THE QUIN,101 WEST 57TH ST,New York,US,10019,,,,,,,,200004,expedia
166,Park South Hotel,124 E 28th,New York,US,10016,,,,,,,,196593,expedia
167,CHURCHILL AT 300 EAST 39TH,300 East 39th Street,New York,US,10016,,,,,,,,200494,expedia
168,"The GEM Hotel-SoHo, an Ascend Hotel Collection Member",135 E Houston St,New York,US,10002,,,,,,,,200512,expedia
169,Hotel Chandler,12 E 31st St,New York,US,10016,,,,,,,,197983,expedia
170,Hotel Stanford,43 W 32nd St,New York,US,10001,,,,,,,,203729,expedia
171,Le Parker Meridien New York,119 W. 56th Street,New York,US,10019,,,,,,,,200065,expedia
172,Bedford Hotel,118 E 40th St,New York,US,10016,,,,,,,,202307,expedia
173,The Sohotel,341 Broome St,New York,US,10013,,,,,,,,203420,expedia
174,Best Western Convention Center Hotel,522 W 38th St,New York,US,10018,,,,,,,,203621,expedia
175,MINETTA SUITES,9 Minetta Street Building B,New York,US,10012,,,,,,,,206612,expedia
176,Hampton Inn New York Chelsea,108 W 24th St,New York,US,10011,,,,,,Hersha Hospitality (HT),,207138,expedia
177,Park Savoy Hotel,158 W 58th St,New York,US,10019,,,,,,,,205514,expedia
178,Hampton Inn Manhattan-Seaport-Financial District,320 Pearl Street,New York,US,10038,,,,,,Hersha Hospitality (HT),,213134,expedia
179,Hotel Metro,45 W 35th St,New York,US,10001,,,,,,,,206674,expedia
180,"Mandarin Oriental, New York",80 Columbus Circle at 60th Street,New York,US,10023,,,,,,,,211803,expedia
181,Affinia Manhattan,371 7th Ave,New York,US,10001,,,,,,Pebblebrook Hotel Trust (PEB),,219433,expedia
182,Hotel St. James,109 W. 45TH ST.,New York,US,10036,,,,,,,,217460,expedia
183,Four Points by Sheraton Manhattan - Chelsea,160 W 25th St,New York,US,10001,,,,,,,,218485,expedia
